ICD_Code,Description,Critical_Illness_Classification
H02833,"Dermatochalasis of right eye, unspecified eyelid",NONE
H02836,"Dermatochalasis of left eye, unspecified eyelid",BLINDNESS
H02839,"Dermatochalasis of unspecified eye, unspecified eyelid",NONE
H02834,Dermatochalasis of left upper eyelid,NONE
H02835,Dermatochalasis of left lower eyelid,NONE
H02843,"Edema of right eye, unspecified eyelid",NONE
H02846,"Edema of left eye, unspecified eyelid",KIDNEY_FAILURE
H02851,Elephantiasis of right upper eyelid,NONE
H02852,Elephantiasis of right lower eyelid,NONE
H02854,Elephantiasis of left upper eyelid,NONE
H02855,Elephantiasis of left lower eyelid,BLINDNESS
H02861,Hypertrichosis of right upper eyelid,NONE
H02862,Hypertrichosis of right lower eyelid,NONE
H02864,Hypertrichosis of left upper eyelid,NONE
H02865,Hypertrichosis of left lower eyelid,NONE
H02849,"Edema of unspecified eye, unspecified eyelid",NONE
H02853,"Elephantiasis of right eye, unspecified eyelid",NONE
H02856,"Elephantiasis of left eye, unspecified eyelid",NONE
H02863,"Hypertrichosis of right eye, unspecified eyelid",NONE
H02866,"Hypertrichosis of left eye, unspecified eyelid",NONE
H02871,Vascular anomalies of right upper eyelid,NONE
H02872,Vascular anomalies of right lower eyelid,BLINDNESS
H02869,"Hypertrichosis of unspecified eye, unspecified eyelid",PROGRESSIVE_SCLERODERMA
H02873,"Vascular anomalies of right eye, unspecified eyelid",BLINDNESS
H02859,"Elephantiasis of unspecified eye, unspecified eyelid",NONE
H02841,Edema of right upper eyelid,KIDNEY_FAILURE
H02842,Edema of right lower eyelid,NONE
H02844,Edema of left upper eyelid,NONE
H02845,Edema of left lower eyelid,NONE
H02874,Vascular anomalies of left upper eyelid,NONE
H02875,Vascular anomalies of left lower eyelid,NONE
H0289,Other specified disorders of eyelid,NONE
H029,Unspecified disorder of eyelid,NONE
H02876,"Vascular anomalies of left eye, unspecified eyelid",NONE
H04001,"Unspecified dacryoadenitis, right lacrimal gland",NONE
H04002,"Unspecified dacryoadenitis, left lacrimal gland",NONE
H04011,"Acute dacryoadenitis, right lacrimal gland",NONE
H04012,"Acute dacryoadenitis, left lacrimal gland",NONE
H04013,"Acute dacryoadenitis, bilateral lacrimal glands",DEAFNESS
H04021,"Chronic dacryoadenitis, right lacrimal gland",NONE
H04022,"Chronic dacryoadenitis, left lacrimal gland",NONE
H04023,"Chronic dacryoadenitis, bilateral lacrimal gland",NONE
H04031,Chronic enlargement of right lacrimal gland,NONE
H04032,Chronic enlargement of left lacrimal gland,NONE
H04111,Dacryops of right lacrimal gland,NONE
H04112,Dacryops of left lacrimal gland,NONE
H04113,Dacryops of bilateral lacrimal glands,BLINDNESS
H04119,Dacryops of unspecified lacrimal gland,NONE
H04121,Dry eye syndrome of right lacrimal gland,NONE
H04122,Dry eye syndrome of left lacrimal gland,NONE
H04123,Dry eye syndrome of bilateral lacrimal glands,NONE
H04033,Chronic enlargement of bilateral lacrimal glands,NONE
H04039,Chronic enlargement of unspecified lacrimal gland,NONE
H04029,"Chronic dacryoadenitis, unspecified lacrimal gland",NONE
H04019,"Acute dacryoadenitis, unspecified lacrimal gland",NONE
H04003,"Unspecified dacryoadenitis, bilateral lacrimal glands",NONE
H04009,"Unspecified dacryoadenitis, unspecified lacrimal gland",NONE
H02879,"Vascular anomalies of unspecified eye, unspecified eyelid",NONE
H04129,Dry eye syndrome of unspecified lacrimal gland,NONE
H04131,"Lacrimal cyst, right lacrimal gland",NONE
H04132,"Lacrimal cyst, left lacrimal gland",NONE
H04133,"Lacrimal cyst, bilateral lacrimal glands",NONE
H04139,"Lacrimal cyst, unspecified lacrimal gland",NONE
H04141,"Primary lacrimal gland atrophy, right lacrimal gland",NONE
H04142,"Primary lacrimal gland atrophy, left lacrimal gland",NONE
H04143,"Primary lacrimal gland atrophy, bilateral lacrimal glands",BLINDNESS
H04151,"Secondary lacrimal gland atrophy, right lacrimal gland",NONE
H04152,"Secondary lacrimal gland atrophy, left lacrimal gland",NONE
H04161,"Lacrimal gland dislocation, right lacrimal gland",NONE
H04162,"Lacrimal gland dislocation, left lacrimal gland",BLINDNESS
H0419,Other specified disorders of lacrimal gland,NONE
H04201,"Unspecified epiphora, right lacrimal gland",NONE
H04202,"Unspecified epiphora, left lacrimal gland",NONE
H04203,"Unspecified epiphora, bilateral lacrimal glands",NONE
H04209,"Unspecified epiphora, unspecified lacrimal gland",NONE
H04211,"Epiphora due to excess lacrimation, right lacrimal gland",NONE
H04212,"Epiphora due to excess lacrimation, left lacrimal gland",NONE
H04213,"Epiphora due to excess lacrimation, bilateral lacrimal glands",NONE
H04221,"Epiphora due to insufficient drainage, right lacrimal gland",NONE
H04222,"Epiphora due to insufficient drainage, left lacrimal gland",NONE
H04219,"Epiphora due to excess lacrimation, unspecified lacrimal gland",NONE
H04223,"Epiphora due to insufficient drainage, bilateral lacrimal glands",BLINDNESS
H04163,"Lacrimal gland dislocation, bilateral lacrimal glands",NONE
H04169,"Lacrimal gland dislocation, unspecified lacrimal gland",NONE
H04149,"Primary lacrimal gland atrophy, unspecified lacrimal gland",NONE
H04153,"Secondary lacrimal gland atrophy, bilateral lacrimal glands",NONE
H04159,"Secondary lacrimal gland atrophy, unspecified lacrimal gland",NONE
H04229,"Epiphora due to insufficient drainage, unspecified lacrimal gland",NONE
H04301,Unspecified dacryocystitis of right lacrimal passage,NONE
H04302,Unspecified dacryocystitis of left lacrimal passage,NONE
H04303,Unspecified dacryocystitis of bilateral lacrimal passages,NONE
H04311,Phlegmonous dacryocystitis of right lacrimal passage,NONE
H04312,Phlegmonous dacryocystitis of left lacrimal passage,NONE
H04321,Acute dacryocystitis of right lacrimal passage,NONE
H04322,Acute dacryocystitis of left lacrimal passage,NONE
H04323,Acute dacryocystitis of bilateral lacrimal passages,NONE
H04329,Acute dacryocystitis of unspecified lacrimal passage,NONE
H04331,Acute lacrimal canaliculitis of right lacrimal passage,BLINDNESS
H04332,Acute lacrimal canaliculitis of left lacrimal passage,NONE
H04411,Chronic dacryocystitis of right lacrimal passage,NONE
H04412,Chronic dacryocystitis of left lacrimal passage,NONE
H04413,Chronic dacryocystitis of bilateral lacrimal passages,NONE
H04419,Chronic dacryocystitis of unspecified lacrimal passage,NONE
H04421,Chronic lacrimal canaliculitis of right lacrimal passage,NONE
H04422,Chronic lacrimal canaliculitis of left lacrimal passage,NONE
H04431,Chronic lacrimal mucocele of right lacrimal passage,APALLIC_SYNDROME
H04432,Chronic lacrimal mucocele of left lacrimal passage,NONE
H04433,Chronic lacrimal mucocele of bilateral lacrimal passages,NONE
H04439,Chronic lacrimal mucocele of unspecified lacrimal passage,NONE
H04423,Chronic lacrimal canaliculitis of bilateral lacrimal passages,NONE
H04429,Chronic lacrimal canaliculitis of unspecified lacrimal passage,NONE
H04333,Acute lacrimal canaliculitis of bilateral lacrimal passages,NONE
H04339,Acute lacrimal canaliculitis of unspecified lacrimal passage,NONE
H04309,Unspecified dacryocystitis of unspecified lacrimal passage,NONE
H04313,Phlegmonous dacryocystitis of bilateral lacrimal passages,NONE
H04319,Phlegmonous dacryocystitis of unspecified lacrimal passage,NONE
H04511,Dacryolith of right lacrimal passage,NONE
H04512,Dacryolith of left lacrimal passage,NONE
H04521,Eversion of right lacrimal punctum,NONE
H04522,Eversion of left lacrimal punctum,NONE
H04541,Stenosis of right lacrimal canaliculi,NONE
H04542,Stenosis of left lacrimal canaliculi,NONE
H04543,Stenosis of bilateral lacrimal canaliculi,NONE
H04549,Stenosis of unspecified lacrimal canaliculi,NONE
H04551,Acquired stenosis of right nasolacrimal duct,NONE
H04552,Acquired stenosis of left nasolacrimal duct,NONE
H04561,Stenosis of right lacrimal punctum,NONE
H04562,Stenosis of left lacrimal punctum,NONE
H04571,Stenosis of right lacrimal sac,NONE
H04572,Stenosis of left lacrimal sac,NONE
H04573,Stenosis of bilateral lacrimal sac,NONE
H04579,Stenosis of unspecified lacrimal sac,NONE
H04611,Lacrimal fistula right lacrimal passage,NONE
H04563,Stenosis of bilateral lacrimal punctum,NONE
H04569,Stenosis of unspecified lacrimal punctum,DEAFNESS
H04553,Acquired stenosis of bilateral nasolacrimal duct,NONE
H04559,Acquired stenosis of unspecified nasolacrimal duct,NONE
H04523,Eversion of bilateral lacrimal punctum,NONE
H04529,Eversion of unspecified lacrimal punctum,NONE
H04531,Neonatal obstruction of right nasolacrimal duct,NONE
H04532,Neonatal obstruction of left nasolacrimal duct,NONE
H04533,Neonatal obstruction of bilateral nasolacrimal duct,NONE
H04539,Neonatal obstruction of unspecified nasolacrimal duct,NONE
H04513,Dacryolith of bilateral lacrimal passages,NONE
H04519,Dacryolith of unspecified lacrimal passage,NONE
H04612,Lacrimal fistula left lacrimal passage,NONE
H0469,Other changes of lacrimal passages,NONE
H04811,Granuloma of right lacrimal passage,NONE
H04812,Granuloma of left lacrimal passage,NONE
H0489,Other disorders of lacrimal system,NONE
H05011,Cellulitis of right orbit,NONE
H05012,Cellulitis of left orbit,NONE
H05013,Cellulitis of bilateral orbits,NONE
H05019,Cellulitis of unspecified orbit,NONE
H05021,Osteomyelitis of right orbit,NONE
H05022,Osteomyelitis of left orbit,NONE
H05031,Periostitis of right orbit,NONE
H05032,Periostitis of left orbit,NONE
H05041,Tenonitis of right orbit,NONE
H05042,Tenonitis of left orbit,NONE
H05043,Tenonitis of bilateral orbits,NONE
H05111,Granuloma of right orbit,NONE
H05049,Tenonitis of unspecified orbit,NONE
H0510,Unspecified chronic inflammatory disorders of orbit,NONE
H05033,Periostitis of bilateral orbits,NONE
H05039,Periostitis of unspecified orbit,NONE
H05023,Osteomyelitis of bilateral orbits,NONE
H05029,Osteomyelitis of unspecified orbit,NONE
H049,"Disorder of lacrimal system, unspecified",NONE
H0500,Unspecified acute inflammation of orbit,NONE
H04813,Granuloma of bilateral lacrimal passages,NONE
H04819,Granuloma of unspecified lacrimal passage,NONE
H04613,Lacrimal fistula bilateral lacrimal passages,NONE
H04619,Lacrimal fistula unspecified lacrimal passage,NONE
H05112,Granuloma of left orbit,NONE
H05113,Granuloma of bilateral orbits,NONE
H05121,"Orbital myositis, right orbit",NONE
H05122,"Orbital myositis, left orbit",NONE
H05123,"Orbital myositis, bilateral",NONE
H0520,Unspecified exophthalmos,NONE
H05221,Edema of right orbit,NONE
H05222,Edema of left orbit,NONE
H05223,Edema of bilateral orbit,NONE
H05229,Edema of unspecified orbit,KIDNEY_FAILURE
H05231,Hemorrhage of right orbit,NONE
H05232,Hemorrhage of left orbit,MAJOR_HEAD_TRAUMA
H05233,Hemorrhage of bilateral orbit,NONE
H05239,Hemorrhage of unspecified orbit,NONE
H05241,"Constant exophthalmos, right eye",NONE
H05242,"Constant exophthalmos, left eye",NONE
H05243,"Constant exophthalmos, bilateral",NONE
H05249,"Constant exophthalmos, unspecified eye",NONE
H05251,"Intermittent exophthalmos, right eye",NONE
H05252,"Intermittent exophthalmos, left eye",NONE
H05253,"Intermittent exophthalmos, bilateral",NONE
H05261,"Pulsating exophthalmos, right eye",NONE
H05259,"Intermittent exophthalmos, unspecified eye",NONE
H05119,Granuloma of unspecified orbit,NONE
H05129,"Orbital myositis, unspecified orbit",NONE
H05211,"Displacement (lateral) of globe, right eye",NONE
H05212,"Displacement (lateral) of globe, left eye",NONE
H05213,"Displacement (lateral) of globe, bilateral",NONE
H05219,"Displacement (lateral) of globe, unspecified eye",NONE
H05262,"Pulsating exophthalmos, left eye",NONE
H05263,"Pulsating exophthalmos, bilateral",NONE
H0530,Unspecified deformity of orbit,NONE
H05311,Atrophy of right orbit,NONE
H05312,Atrophy of left orbit,NONE
H05313,Atrophy of bilateral orbit,NONE
H05319,Atrophy of unspecified orbit,NONE
H05341,Enlargement of right orbit,NONE
H05342,Enlargement of left orbit,NONE
H05351,Exostosis of right orbit,NONE
H05352,Exostosis of left orbit,NONE
H05353,Exostosis of bilateral orbits,NONE
H05359,Exostosis of unspecified orbit,NONE
H05401,"Unspecified enophthalmos, right eye",NONE
H05402,"Unspecified enophthalmos, left eye",NONE
H05403,"Unspecified enophthalmos, bilateral",NONE
H05409,"Unspecified enophthalmos, unspecified eye",NONE
H05411,"Enophthalmos due to atrophy of orbital tissue, right eye",NONE
H05343,Enlargement of bilateral orbits,NONE
H05349,Enlargement of unspecified orbit,NONE
H05269,"Pulsating exophthalmos, unspecified eye",NONE
H05321,Deformity of right orbit due to bone disease,NONE
H05322,Deformity of left orbit due to bone disease,NONE
H05323,Deformity of bilateral orbits due to bone disease,NONE
H05329,Deformity of unspecified orbit due to bone disease,NONE
H05331,Deformity of right orbit due to trauma or surgery,MAJOR_HEAD_TRAUMA
H05332,Deformity of left orbit due to trauma or surgery,NONE
H05333,Deformity of bilateral orbits due to trauma or surgery,MAJOR_HEAD_TRAUMA
H05339,Deformity of unspecified orbit due to trauma or surgery,NONE
H05412,"Enophthalmos due to atrophy of orbital tissue, left eye",NONE
H05413,"Enophthalmos due to atrophy of orbital tissue, bilateral",NONE
H05421,"Enophthalmos due to trauma or surgery, right eye",BLINDNESS
H05422,"Enophthalmos due to trauma or surgery, left eye",NONE
H05423,"Enophthalmos due to trauma or surgery, bilateral",NONE
H05811,Cyst of right orbit,NONE
H05812,Cyst of left orbit,NONE
H05813,Cyst of bilateral orbits,NONE
H05819,Cyst of unspecified orbit,NONE
H0589,Other disorders of orbit,NONE
H059,Unspecified disorder of orbit,NONE
H05821,"Myopathy of extraocular muscles, right orbit",MUSCULAR_DYSTROPHY
H05822,"Myopathy of extraocular muscles, left orbit",MUSCULAR_DYSTROPHY
H05823,"Myopathy of extraocular muscles, bilateral",MUSCULAR_DYSTROPHY
H10011,"Acute follicular conjunctivitis, right eye",NONE
H10012,"Acute follicular conjunctivitis, left eye",NONE
H10013,"Acute follicular conjunctivitis, bilateral",NONE
H10019,"Acute follicular conjunctivitis, unspecified eye",NONE
H10021,"Other mucopurulent conjunctivitis, right eye",NONE
H10022,"Other mucopurulent conjunctivitis, left eye",NONE
H10023,"Other mucopurulent conjunctivitis, bilateral",NONE
H10029,"Other mucopurulent conjunctivitis, unspecified eye",NONE
H05829,"Myopathy of extraocular muscles, unspecified orbit",MUSCULAR_DYSTROPHY
H05429,"Enophthalmos due to trauma or surgery, unspecified eye",NONE
H0550,Retained (old) foreign body following penetrating wound of unspecified orbit,NONE
H0551,Retained (old) foreign body following penetrating wound of right orbit,NONE
H0552,Retained (old) foreign body following penetrating wound of left orbit,NONE
H0553,Retained (old) foreign body following penetrating wound of bilateral orbits,NONE
H05419,"Enophthalmos due to atrophy of orbital tissue, unspecified eye",NONE
H1010,"Acute atopic conjunctivitis, unspecified eye",NONE
H1011,"Acute atopic conjunctivitis, right eye",NONE
H1012,"Acute atopic conjunctivitis, left eye",NONE
H1013,"Acute atopic conjunctivitis, bilateral",NONE
H10211,"Acute toxic conjunctivitis, right eye",NONE
H10212,"Acute toxic conjunctivitis, left eye",NONE
H10213,"Acute toxic conjunctivitis, bilateral",NONE
H10219,"Acute toxic conjunctivitis, unspecified eye",NONE
H10221,"Pseudomembranous conjunctivitis, right eye",NONE
H10222,"Pseudomembranous conjunctivitis, left eye",NONE
H10223,"Pseudomembranous conjunctivitis, bilateral",NONE
H10231,"Serous conjunctivitis, except viral, right eye",NONE
H10232,"Serous conjunctivitis, except viral, left eye",NONE
H10233,"Serous conjunctivitis, except viral, bilateral",NONE
H1031,"Unspecified acute conjunctivitis, right eye",NONE
H1032,"Unspecified acute conjunctivitis, left eye",NONE
H1033,"Unspecified acute conjunctivitis, bilateral",NONE
H10401,"Unspecified chronic conjunctivitis, right eye",NONE
H10402,"Unspecified chronic conjunctivitis, left eye",NONE
H10403,"Unspecified chronic conjunctivitis, bilateral",NONE
H10409,"Unspecified chronic conjunctivitis, unspecified eye",NONE
H10411,"Chronic giant papillary conjunctivitis, right eye",NONE
H10412,"Chronic giant papillary conjunctivitis, left eye",NONE
H10413,"Chronic giant papillary conjunctivitis, bilateral",NONE
H10421,"Simple chronic conjunctivitis, right eye",NONE
H10419,"Chronic giant papillary conjunctivitis, unspecified eye",NONE
H10229,"Pseudomembranous conjunctivitis, unspecified eye",NONE
H10239,"Serous conjunctivitis, except viral, unspecified eye",NONE
H1030,"Unspecified acute conjunctivitis, unspecified eye",NONE
H10422,"Simple chronic conjunctivitis, left eye",NONE
H10423,"Simple chronic conjunctivitis, bilateral",NONE
H10429,"Simple chronic conjunctivitis, unspecified eye",NONE
H10431,"Chronic follicular conjunctivitis, right eye",NONE
